ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
7	 0 1 0 0000
8	 1 1 0 0000
9	 0 1 0 0000
10	 1 1 0 0000
11	 0 1 0 0000
12	 1 1 0 0000
13	 0 1 0 0000
14	 1 1 0 0000
15	 0 0 0 0000
16	 1 0 0 0000
17	 0 0 0 0001
18	 1 0 0 0001
19	 0 0 0 0001
20	 1 0 0 0001
21	 0 0 0 0001
22	 1 0 0 0001
23	 0 0 0 0001
24	 1 0 0 0001
25	 0 0 1 0001
26	 1 0 1 0001
27	 0 0 1 0001
28	 1 0 1 0001
29	 0 0 1 0001
30	 1 0 1 0001
31	 0 0 1 0001
32	 1 0 1 0001
33	 0 0 1 0001
34	 1 0 1 0001
35	 0 0 1 0001
36	 1 0 1 0001
37	 0 0 1 0001
38	 1 0 1 0001
39	 0 0 1 0001
40	 1 0 1 0001
41	 0 0 1 0001
42	 1 0 1 0001
43	 0 0 1 0001
44	 1 0 1 0001
45	 0 0 1 0001
46	 1 0 1 0001
47	 0 0 1 0001
48	 1 0 1 0001
49	 0 0 1 0010
50	 1 0 1 0010
51	 0 0 1 0010
52	 1 0 1 0010
53	 0 0 1 0010
54	 1 0 1 0010
55	 0 0 1 0010
56	 1 0 1 0010
57	 0 0 1 0010
58	 1 0 1 0010
59	 0 0 1 0010
60	 1 0 1 0010
61	 0 0 1 0010
62	 1 0 1 0010
63	 0 0 1 0010
64	 1 0 1 0010
65	 0 0 1 0010
66	 1 0 1 0010
67	 0 0 1 0010
68	 1 0 1 0010
69	 0 0 1 0010
70	 1 0 1 0010
71	 0 0 1 0010
72	 1 0 1 0010
73	 0 0 1 0010
74	 1 0 1 0010
75	 0 0 1 0010
76	 1 0 1 0010
77	 0 0 1 0010
78	 1 0 1 0010
79	 0 0 1 0010
80	 1 0 1 0010
81	 0 0 1 0011
82	 1 0 1 0011
83	 0 0 1 0011
84	 1 0 1 0011
85	 0 0 1 0011
86	 1 0 1 0011
87	 0 0 1 0011
88	 1 0 1 0011
89	 0 0 1 0011
90	 1 0 1 0011
91	 0 0 1 0011
92	 1 0 1 0011
93	 0 0 1 0011
94	 1 0 1 0011
95	 0 0 1 0011
96	 1 0 1 0011
97	 0 0 1 0011
98	 1 0 1 0011
99	 0 0 1 0011
100	 1 0 1 0011
101	 0 0 1 0011
102	 1 0 1 0011
103	 0 0 1 0011
104	 1 0 1 0011
105	 0 0 1 0011
106	 1 0 1 0011
107	 0 0 1 0011
108	 1 0 1 0011
109	 0 0 1 0011
110	 1 0 1 0011
111	 0 0 1 0011
112	 1 0 1 0011
113	 0 0 1 0100
114	 1 0 1 0100
115	 0 0 1 0100
116	 1 0 1 0100
117	 0 0 1 0100
118	 1 0 1 0100
119	 0 0 1 0100
120	 1 0 1 0100
121	 0 0 1 0100
122	 1 0 1 0100
123	 0 0 1 0100
124	 1 0 1 0100
125	 0 0 1 0100
126	 1 0 1 0100
127	 0 0 1 0100
128	 1 0 1 0100
129	 0 0 1 0100
130	 1 0 1 0100
131	 0 0 1 0100
132	 1 0 1 0100
133	 0 0 1 0100
134	 1 0 1 0100
135	 0 0 1 0100
136	 1 0 1 0100
137	 0 0 1 0100
138	 1 0 1 0100
139	 0 0 1 0100
140	 1 0 1 0100
141	 0 0 1 0100
142	 1 0 1 0100
143	 0 0 1 0100
144	 1 0 1 0100
145	 0 0 1 0101
146	 1 0 1 0101
147	 0 0 1 0101
148	 1 0 1 0101
149	 0 0 1 0101
150	 1 0 1 0101
151	 0 0 1 0101
152	 1 0 1 0101
153	 0 0 1 0101
154	 1 0 1 0101
155	 0 0 1 0101
156	 1 0 1 0101
157	 0 0 1 0101
158	 1 0 1 0101
159	 0 0 1 0101
160	 1 0 1 0101
161	 0 0 1 0101
162	 1 0 1 0101
163	 0 0 1 0101
164	 1 0 1 0101
165	 0 0 1 0101
166	 1 0 1 0101
167	 0 0 1 0101
168	 1 0 1 0101
169	 0 0 1 0101
170	 1 0 1 0101
171	 0 0 1 0101
172	 1 0 1 0101
